"Y","W","S","C"
1.84,5,1,1
0.614,5,2,0
1.937,5,2,1
0,5,3,0
1.481,5,3,1
1.735,1,0,0
0,1,0,1
0,1,1,0
1.416,1,1,1
1.429,1,2,0
2.489,1,2,1
0,2,0,0
0,2,0,1
0,2,1,0
0,2,1,1
3.179,2,2,0
2.846,2,2,1
2.607,2,3,0
1.667,3,0,0
0,3,0,1
0,3,1,0
0,3,1,1
1.776,3,2,0
2.762,3,2,1
0.366,3,3,0
1.538,3,3,1
0,4,0,0
2.004,4,0,1
0,4,1,0
0.896,4,1,1
1.534,4,2,0
1.611,4,2,1
1.679,4,3,0
2.698,4,3,1
0,5,0,0
0,5,0,1
1.875,5,1,0
4,5,1,1
1.875,5,2,0
3.71,5,2,1
1.949,5,3,0
0.979,5,3,1
2.39,1,0,0
0.887,1,0,1
0,1,1,1
0.748,1,2,0
2.331,1,2,1
0,1,3,0
0,2,0,0
0,2,0,1
0,2,1,0
0.951,2,1,1
1.699,2,2,0
1.24,2,2,1
0.497,2,3,0
3.322,2,3,1
0,3,0,0
0,3,0,1
0.781,3,1,0
1.667,3,1,1
1.471,3,2,0
2.773,3,2,1
0.251,3,3,0
4.938,3,3,1
0,4,0,0
0.886,4,0,1
3.375,4,1,0
8.571,4,1,1
1.435,4,2,0
2.855,4,2,1
1.297,4,3,0
0.711,4,3,1
0,5,0,1
0,5,1,1
2.001,5,2,0
3.429,5,2,1
1.631,5,3,0
2.183,5,3,1
2.72,1,0,0
3.211,1,0,1
3.789,1,1,0
0,1,1,1
4.273,1,2,0
4.129,1,2,1
0,1,3,0
1.838,2,0,0
2,2,0,1
0.37,2,1,0
2.471,2,1,1
1.762,2,2,0
1.522,2,2,1
2.541,2,3,0
3.131,2,3,1
1.667,3,0,0
0,3,0,1
2.63,3,1,0
2.5,3,1,1
1.384,3,2,0
3.159,3,2,1
0.576,3,3,0
1.649,3,3,1
0,4,0,0
0.977,4,0,1
2,4,1,0
0,4,1,1
2.712,4,2,0
3.761,4,2,1
0.606,4,3,0
0,4,3,1
0,5,0,0
0,5,0,1
0,5,1,1
1.528,5,2,0
2.475,5,2,1
1.395,5,3,0
3.01,5,3,1
0,1,0,0
0.675,1,0,1
4.657,1,1,1
0.145,1,2,0
1.532,1,2,1
0,1,3,0
1.876,2,0,1
4.692,2,1,0
3.65,2,1,1
0.663,2,2,0
2.761,2,2,1
1.667,2,3,1
3.636,3,0,0
0,3,0,1
0,3,1,1
1.461,3,2,0
3.159,3,2,1
0,3,3,0
0.609,3,3,1
0,4,0,1
3.364,4,1,1
0.919,4,2,0
2.692,4,2,1
2.936,4,3,0
5.049,4,3,1
0,5,0,1
0,5,1,1
0.155,5,2,0
3.993,5,2,1
0,5,3,0
3.151,5,3,1
0,1,0,0
3.507,1,0,1
0.84,1,1,1
2.251,1,2,0
5.662,1,2,1
0,1,3,0
0,2,0,1
1.875,2,1,0
3.333,2,1,1
0.786,2,2,0
2.028,2,2,1
2.572,2,3,1
1.667,3,0,0
0,3,0,1
2.861,3,1,0
1.046,3,1,1
4.501,3,2,0
2.614,3,2,1
1.667,3,3,0
2.041,3,3,1
0,4,0,1
3.985,4,1,1
1.173,4,2,0
3.516,4,2,1
0.137,4,3,0
3.474,4,3,1
0,5,0,1
0,5,1,1
2.313,5,2,0
3.072,5,2,1
3.928,5,3,0
2.621,5,3,1
1.882,1,0,0
0.731,1,0,1
1.667,1,1,0
3.142,1,1,1
1.274,1,2,0
3.849,1,2,1
0,2,0,1
0,2,1,0
2.166,2,1,1
4.44,2,2,0
2.737,2,2,1
0.781,2,3,0
0,2,3,1
0,3,0,0
1.667,3,0,1
1.665,3,1,0
0.78,3,1,1
2.441,3,2,0
2.332,3,2,1
2.5,3,3,0
1.071,3,3,1
2.4,4,0,0
5.063,4,0,1
0,4,1,1
1.877,4,2,0
3.319,4,2,1
0.239,4,3,0
4.292,4,3,1
0,5,0,1
0,5,1,1
2.223,5,2,0
3.39,5,2,1
0.564,5,3,0
14.707,5,3,1
0,1,0,0
0.904,1,0,1
2.222,1,1,0
0.675,1,1,1
0.652,1,2,0
1.707,1,2,1
0,1,3,0
1.545,1,3,1
0,2,0,0
0,2,0,1
0,2,1,0
0.296,2,1,1
0.779,2,2,0
2.924,2,2,1
0,2,3,0
2.532,2,3,1
0,3,0,0
1.533,3,0,1
3.918,3,1,0
0,3,1,1
3.231,3,2,0
1.92,3,2,1
1.18,3,3,0
2.377,3,3,1
3,4,0,1
0,4,1,0
3.333,4,1,1
2.919,4,2,0
2.626,4,2,1
1.859,4,3,0
1.935,4,3,1
0,5,0,1
0,5,1,1
2.175,5,2,0
1.842,5,2,1
2.391,5,3,0
2.707,5,3,1
0,1,0,0
1.875,1,0,1
0,1,1,0
1.667,1,1,1
0.747,1,2,0
2.072,1,2,1
1.875,2,0,0
0,2,0,1
12.684,2,1,1
1.257,2,2,0
3.851,2,2,1
0.772,2,3,0
0.662,2,3,1
0,3,0,0
0,3,0,1
0,3,1,0
0.423,3,1,1
1.911,3,2,0
2.519,3,2,1
0,3,3,0
0.945,3,3,1
0,4,0,0
0,4,0,1
0.649,4,1,0
0.803,4,1,1
0.752,4,2,0
1.282,4,2,1
1.309,4,3,0
6.455,4,3,1
0,5,1,0
0,5,1,1
2.602,5,2,0
2.091,5,2,1
0.629,5,3,0
2.213,5,3,1
0,1,0,1
0,1,1,0
0,1,1,1
0,1,2,0
0,1,2,1
0.833,1,3,0
1.06,2,0,0
0,2,0,1
0,2,1,0
0,2,1,1
1.044,2,2,0
2.033,2,2,1
1.667,2,3,0
0,2,3,1
0,3,0,0
12.101,3,0,1
0,3,1,1
0.785,3,2,0
2.044,3,2,1
0.443,3,3,0
0.587,3,3,1
0,4,0,0
0,4,1,0
0,4,1,1
1.407,4,2,0
2.539,4,2,1
0.677,4,3,0
2.259,4,3,1
0,5,0,1
0,5,1,1
0.91,5,2,0
1.287,5,2,1
1.528,5,3,0
1.015,5,3,1
1.918,1,0,0
2.857,1,0,1
1.667,1,1,1
0.717,1,2,0
4.01,1,2,1
0.786,1,3,0
0,1,3,1
0,2,0,0
0.336,2,0,1
1.667,2,1,0
1.714,2,1,1
1.744,2,2,0
1.861,2,2,1
0,2,3,0
1.971,2,3,1
0,3,0,1
0.859,3,1,1
1.67,3,2,0
3.582,3,2,1
0.63,3,3,0
1.719,3,3,1
0,4,0,1
2.124,4,1,1
2.686,4,2,0
3.102,4,2,1
0.996,4,3,0
