"Y","W","S","A"
0,3,1,2
0,3,2,1
59,3,2,2
NA,4,0,2
0,4,1,2
0,4,2,1
23.6,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
NA,5,1,2
0,5,2,1
28.41,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
NA,1,0,2
0,1,1,2
242.66,1,2,1
0,1,2,2
0,2,0,2
0,2,1,1
0,2,1,2
74.79,2,2,1
0,2,2,2
0,3,0,2
NA,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
NA,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
0,4,3,2
NA,5,0,2
0,5,1,2
0,5,2,1
22.9,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,2
0,1,2,1
0,1,2,2
NA,2,0,1
0,2,0,2
NA,2,1,1
0,2,1,2
0,2,2,1
46.45,2,2,2
0,3,0,2
0,3,1,1
0,3,1,2
0,3,2,1
0,3,2,2
0,4,0,2
NA,4,1,1
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
NA,5,0,1
NA,5,0,2
0,5,1,2
0,5,2,1
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
52.12,1,1,1
0,1,2,1
0,2,0,1
0,2,0,2
0,2,1,1
0,2,2,1
0,3,0,1
NA,3,1,1
0,3,2,1
0,3,2,2
0,3,3,1
NA,4,1,1
NA,4,1,2
0,4,2,1
0,4,2,2
0,4,3,1
0,5,2,1
0,5,2,2
0,5,3,1
